L'AQUILA;A345
LUCCA;E715
LUCCA SICULA;E714
LUCERA;E716
LUCIGNANO;E718
LUCINASCO;E719
LUCITO;E722
LUCO DEI MARSI;E723
LUCOLI;E724
LUGAGNANO VAL D'ARDA;E726
LUGNACCO;E727
LUGNANO IN TEVERINA;E729
LUGO;E730
LUGO DI VICENZA;E731
LUINO;E734
LUISAGO;E735
LULA;E736
LUMARZO;E737
LUMEZZANE;E738
LUNAMATRONA;E742
LUNANO;E743
LUNGAVILLA;B387
LUNGRO;E745
LUOGOSANO;E746
LUOGOSANTO;E747
LUPARA;E748
LURAGO D'ERBA;E749
LURAGO MARINONE;E750
LURANO;E751
LURAS;E752
LURATE CACCIVIO;E753
LUSCIANO;E754
LUSERNA;E757
LUSERNA SAN GIOVANNI;E758
LUSERNETTA;E759
LUSEVERA;E760
LUSIA;E761
LUSIANA;E762
LUSIGLIE';E763
LUSON;E764
LUSTRA;E767
LUVINATE;E769
LUZZANA;E770
LUZZARA;E772
LUZZI;E773
