PABILLONIS;G207
PIEVE TESINO;G656
PIEVE TORINA;G657
PIEVE VERGONTE;G658
PIEVEBOVIGLIANA;G637
PIEVEPELAGO;G649
PIGLIO;G659
PIGNA;G660
PIGNATARO INTERAMNA;G662
PIGNATARO MAGGIORE;G661
PIGNOLA;G663
PIGNONE;G664
PIGRA;G665
PILA;G666
PIMENTEL;G669
PIMONTE;G670
PINAROLO PO;G671
PINASCA;G672
PINCARA;G673
PINEROLO;G674
PINETO;F831
PINO D'ASTI;G676
PINO SULLA SPONDA LA;G677
PINO TORINESE;G678
PINZANO AL TAGLIAMENTO;G680
PINZOLO;G681
PIOBBICO;G682
PIOBESI D'ALBA;G683
PIOBESI TORINESE;G684
PIODE;G685
PIOLTELLO;G686
PIOMBINO;G687
PIOMBINO DESE;G688
PIORACO;G690
PIOSSASCO;G691
PIOVA' MASSAIA;G692
PIOVE DI SACCO;G693
PIOVENE ROCCHETTE;G694
PIOVERA;G695
PIOZZANO;G696
PIOZZO;G697
PIRAINO;G699
PISA;G702
PISANO;G703
PISCINA;G705
PISCIOTTA;G707
PISOGNE;G710
PISONIANO;G704
PISTICCI;G712
PISTOIA;G713
PISTOLESA;G714
PITEGLIO;G715
PITIGLIANO;G716
PIUBEGA;G717
PIURO;G718
PIVERONE;G719
PIZZALE;G720
PIZZIGHETTONE;G721
PIZZO;G722
PIZZOFERRATO;G724
PIZZOLI;G726
PIZZONE;G727
PIZZONI;G728
PLACANICA;G729
PLATACI;G733
PLATANIA;G734
PLATI';G735
PLAUS;G299
PLESIO;G737
PLOAGHE;G740
PLODIO;G741
POCAPAGLIA;G742
POCENIA;G743
PODENZANA;G746
PODENZANO;G747
POFI;G749
POGGIARDO;G751
POGGIBONSI;G752
POGGIO A CAIANO;G754
POGGIO BERNI;G755
POGGIO BUSTONE;G756
POGGIO CATINO;G757
POGGIO IMPERIALE;G761
POGGIO MIRTETO;G763
POGGIO MOIANO;G764
POGGIO NATIVO;G765
POGGIO PICENZE;G766
POGGIO RENATICO;G768
POGGIO RUSCO;G753
POGGIO SAN LORENZO;G770
POGGIO SAN MARCELLO;G771
POGGIO SAN VICINO;D566
POGGIO SANNITA;B317
POGGIODOMO;G758
POGGIOFIORITO;G760
POGGIOMARINO;G762
POGGIOREALE;G767
POGGIORSINI;G769
POGGIRIDENTI;G431
POGLIANO MILANESE;G772
POGNANA LARIO;G773
POGNANO;G774
POGNO;G775
POIANA MAGGIORE;G776
POIRINO;G777
POLAVENO;G779
POLCENIGO;G780
POLESELLA;G782
POLESINE PARMENSE;G783
POLI;G784
POLIA;G785
POLICORO;G786
POLIGNANO A MARE;G787
POLINAGO;G789
POLINO;G790
POLISTENA;G791
POLIZZI GENEROSA;G792
POLLA;G793
POLLEIN;G794
POLLENA TROCCHIA;G795
POLLENZA;F567
POLLICA;G796
POLLINA;G797
POLLONE;G798
POLLUTRI;G799
POLONGHERA;G800
POLPENAZZE DEL GARDA;G801
POLVERARA;G802
POLVERIGI;G803
POMARANCE;G804
POMARETTO;G805
POMARICO;G806
POMARO MONFERRATO;G807
POMAROLO;G808
POMBIA;G809
POMEZIA;G811
POMIGLIANO D'ARCO;G812
POMPEI;G813
POMPEIANA;G814
POMPIANO;G815
POMPONESCO;G816
POMPU;G817
PONCARALE;G818
PONDERANO;G820
PONNA;G821
PONSACCO;G822
PONSO;G823
PONT BOZET;G545
PONT CANAVESE;G826
PONT SAINT MARTIN;G854
PONTASSIEVE;G825
PONTE;G827
PONTE BUGGIANESE;G833
PONTE DELL'OLIO;G842
PONTE DI LEGNO;G844
PONTE DI PIAVE;G846
PONTE GARDENA;G830
PONTE IN VALTELLINA;G829
PONTE LAMBRO;G847
PONTE NELLE ALPI;B662
PONTE NIZZA;G851
PONTE NOSSA;F941
PONTE SAN NICOLO';G855
PONTE SAN PIETRO;G856
PONTEBBA;G831
PONTECAGNANO FAIANO;G834
PONTECCHIO POLESINE;G836
PONTECHIANALE;G837
PONTECORVO;G838
PONTECURONE;G839
PONTEDASSIO;G840
PONTEDERA;G843
PONTELANDOLFO;G848
PONTELATONE;G849
PONTELONGO;G850
PONTENURE;G852
PONTERANICA;G853
PONTESTURA;G858
PONTEVICO;G859
PONTEY;G860
PONTI;G861
PONTI SUL MINCIO;G862
PONTIDA;G864
PONTINIA;G865
PONTINVREA;G866
PONTIROLO NUOVO;G867
PONTOGLIO;G869
PONTREMOLI;G870
PONZA;G871
PONZANO DI FERMO;G873
PONZANO MONFERRATO;G872
PONZANO ROMANO;G874
PONZANO VENETO;G875
PONZONE;G877
POPOLI;G878
POPPI;G879
PORANO;G881
PORCARI;G882
PORCIA;G886
PORDENONE;G888
PORLEZZA;G889
PORNASSIO;G890
PORPETTO;G891
PORRETTA TERME;A558
PORTACOMARO;G894
PORTALBERA;G895
PORTE;G900
PORTICI;G902
PORTICO DI CASERTA;G903
PORTICO E SAN BENEDE;G904
PORTIGLIOLA;G905
PORTO AZZURRO;E680
PORTO CERESIO;G906
PORTO CESAREO;G000
PORTO EMPEDOCLE;F299
PORTO MANTOVANO;G917
PORTO RECANATI;G919
PORTO SAN GIORGIO;G920
PORTO SANT'ELPIDIO;G921
PORTO TOLLE;G923
PORTO TORRES;G924
PORTO VALTRAVAGLIA;G907
PORTOBUFFOLE';G909
PORTOCANNONE;G910
PORTOFERRAIO;G912
PORTOFINO;G913
PORTOGRUARO;G914
PORTOMAGGIORE;G916
PORTOPALO DI CAPO PASSERO;G000
PORTOSCUSO;G922
PORTOVENERE;G925
PORTULA;G927
POSADA;G929
POSINA;G931
POSITANO;G932
POSSAGNO;G933
POSTA;G934
POSTA FIBRENO;G935
POSTAL;G936
POSTALESIO;G937
POSTIGLIONE;G939
POSTUA;G940
POTENZA;G942
POTENZA PICENA;F632
POVE DEL GRAPPA;G943
POVEGLIANO;G944
POVEGLIANO VERONESE;G945
POVIGLIO;G947
POVOLETTO;G949
POZZA DI FASSA;G950
POZZAGLIA SABINO;G951
POZZAGLIO ED UNITI;B914
POZZALLO;G953
POZZILI;G954
POZZO D'ADDA;G955
POZZOL GROPPO;G960
POZZOLENGO;G959
POZZOLEONE;G957
POZZOLO FORMIGARO;G961
POZZOMAGGIORE;G962
POZZONOVO;G963
POZZUOLI;G964
POZZUOLO DEL FRIULI;G966
POZZUOLO MARTESANA;G965
PRADALUNGA;G968
PRADAMANO;G969
PRADLEVES;G970
PRAGELATO;G973
PRAIA A MARE;G975
PRAIANO;G976
PRALBOINO;G977
PRALI;G978
PRALORMO;G979
PRALUNGO;G980
PRAMAGGIORE;G981
PRAMOLLO;G982
PRAROLO;G985
PRAROSTINO;G986
PRASCO;G987
PRASCORSANO;G988
PRASO;G980
PRATA CAMPORTACCIO;G993
PRATA D'ANSIDONIA;G992
PRATA DI PORDENONE;G994
PRATA DI PRINCIPATO;G990
PRATELLA;G995
PRATIGLIONE;G997
PRATO;G999
PRATO ALLO STELVIO;H004
PRATO CARNICO;H002
PRATO SANNITA;G991
PRATO SESIA;H001
PRATOLA PELIGNA;H007
PRATOLA SERRA;H006
PRATOVECCHIO;H008
PRAVISDOMINI;H010
PRAY;G974
PRAZZO;H011
PRE' SAINT DIDIER;H042
PRECENICCO;H014
PRECI;H015
PREDAPPIO;H017
PREDAZZO;H018
PREDOI;H019
PREDORE;H020
PREDOSA;H021
PREGANZIOL;H022
PREGNANA MILANESE;H026
PRELA';H027
PREMANA;H028
PREMARIACCO;H029
PREMENO;H030
PREMIA;H033
PREMILCUORE;H034
PREMOLO;H036
PREMOSELLO CHIOVENDA;H037
PREONE;H038
PREORE;H039
PREPOTTO;H040
PRESEGLIE;H043
PRESENZANO;H045
PRESEZZO;H046
PRESICCE;H047
PRESSANA;H048
PRESTINE;H050
PRETORO;H052
PREVALLE;H055
PREZZA;H056
PREZZO;H057
PRIERO;H059
PRIGNANO CILENTO;H062
PRIGNANO SULLA SECCHIA;H061
PRIMALUNA;H063
PRIOCCA;H068
PRIOLA;H069
PRIOLO;I754
PRIVERNO;G698
PRIZZI;H070
PROCENO;H071
PROCIDA;H072
PROPATA;H073
PROSERPIO;H074
PROSSEDI;H076
PROVAGLIO D'ISEO;H078
PROVAGLIO VAL SABBIA;H077
PROVES;H081
PROVVIDENTI;H083
PRUNETTO;H085
PUEGNAGO SUL GARDA;H086
PUGLIANELLO;H087
PULA;H088
PULFERO;H089
PULSANO;H090
PUMENENGO;H091
PUOS D'ALPAGO;H092
PUSIANO;H094
PUTIFIGARI;H095
PUTIGNANO;H096
