GABBIONETA BINANUOVA;D834
GIUSSAGO;E062
GIUSSANO;E063
GIUSTENICE;E064
GIUSTINO;E065
GIUSVALLA;E066
GIVOLETTO;E067
GIZZERIA;E068
GLORENZA;E069
GODEGA DI SANT'URBANO;E071
GODIASCO;E072
GODRANO;E074
GOITO;E078
GOLASECCA;E079
GOLFERENZO;E081
GOMBITO;E082
GONARS;E083
GONI;E084
GONNESA;E086
GONNOSCODINA;E087
GONNOSFANADIGA;E085
GONNOSNO';D585
GONNOSTRAMATZA;E088
GONZAGA;E089
GORDONA;E090
GORGA;E091
GORGO AL MONTICANO;E092
GORGOGLIONE;E093
GORGONZOLA;E094
GORIANO SICOLI;E096
GORIZIA;E098
GORLA MAGGIORE;E101
GORLA MINORE;E102
GORLAGO;E100
GORLE;E103
GORNATE OLONA;E104
GORNO;E106
GORO;E107
GORRETO;E109
GORZEGNO;E111
GOSALDO;E113
GOSSOLENGO;E114
GOTTASECCA;E115
GOTTOLENGO;E116
GOVONE;E118
GOZZANO;E120
GRADARA;E121
GRADISCA D'ISONZO;E124
GRADO;E125
GRADOLI;E126
GRAFFIGNANA;E127
GRAFFIGNANO;E128
GRAGLIA;E130
GRAGNANO;E131
GRAGNANO TREBBIENSE;E132
GRAMMICHELE;E133
GRANA;E134
GRANAGLIONE;E135
GRANAROLO DELL'EMILIA;E136
GRANCONA;E138
GRANDATE;E139
GRANDOLA ED UNITI;E141
GRANITI;E142
GRANOZZO CON MONTICELLO;E143
GRANTOLA;E144
GRANTORTO;E145
GRANZE;E146
GRASSANO;E147
GRASSOBIO;E148
GRATTERI;E149
GRAUNO;E150
GRAVEDONA;E151
GRAVELLONA LOMELLINA;E152
GRAVELLONA TOCE;E153
GRAVERE;E154
GRAVINA DI CATANIA;E156
GRAVINA DI PUGLIA;E155
GRAZZANISE;E158
GRAZZANO BADOGLIO;E159
GRECCIO;E160
GRECI;E161
GREGGIO;E163
GREMIASCO;E164
GRESSAN;E165
GRESSONEY LA TRINITE;E167
GRESSONEY SAINT JEAN;E168
GREVE IN CHIANTI;E169
GREZZAGO;E170
GREZZANA;E171
GRIANTE;E172
GRICIGNANO DI AVERSA;E173
GRIGNASCO;E177
GRIGNO;E178
GRIMACCO;E179
GRIMALDI;E180
GRINZANE CAVOUR;E182
GRISIGNAGO DI ZOCCO;E184
GRISOLIA;E185
GRIZZANA;E187
GROGNARDO;E188
GROMO;E189
GRONDONA;E191
GRONE;E192
GRONTARDO;E193
GROPELLO CAIROLI;E195
GROPPARELLO;E196
GROSCAVALLO;E199
GROSIO;E200
GROSOTTO;E201
GROSSETO;E202
GROSSO;E203
GROTTAFERRATA;E204
GROTTAGLIE;E205
GROTTAMINARDA;E206
GROTTAMMARE;E207
GROTTAZZOLINA;E208
GROTTE;E209
GROTTE DI CASTRO;E210
GROTTERIA;E212
GROTTOLE;E213
GROTTOLELLA;E214
GRUARO;E215
GRUGLIASCO;E216
GRUMELLO CREMONESE ED UNITI;E217
GRUMELLO DEL MONTE;E219
GRUMENTO NOVA;E221
GRUMES;E222
GRUMO APPULA;E223
GRUMO NEVANO;E224
GRUMOLO DELLE ABBADESSE;E226
GUAGNANO;E227
GUALDO;E228
GUALDO CATTANEO;E229
GUALDO TADINO;E230
GUALTIERI;E232
GUALTIERI SICAMINO';E233
GUAMAGGIORE;E234
GUANZATE;E235
GUARCINO;E236
GUARDA VENETA;E240
GUARDABOSONE;E237
GUARDAMIGLIO;E238
GUARDAVALLE;E239
GUARDEA;E241
GUARDIA LOMBARDI;E245
GUARDIA PERTICARA;E246
GUARDIA PIEMONTESE;E242
GUARDIA SANFRAMONDI;E249
GUARDIAGRELE;E243
GUARDIALFIERA;E244
GUARDIAREGIA;E248
GUARDISTALLO;E250
GUARENE;E251
GUASILA;E252
GUASTALLA;E253
GUAZZORA;E255
GUBBIO;E256
GUDO VISCONTI;E258
GUGLIONESI;E259
GUIDIZZOLO;E261
GUIDONIA MONTECELIO;E263
GUIGLIA;E264
GUILMI;E266
GURRO;E269
GUSPINI;E270
GUSSAGO;E271
GUSSOLA;E272
