ABANO TERME;A001
ASCEA;A460
ASCIANO;A461
ASCOLI PICENO;A462
ASCOLI SATRIANO;A463
ASCREA;A464
ASIAGO;A465
ASIGLANO VERCELLESE;A466
ASIGLIANO VENETO;A467
ASOLA;A470
ASOLO;A471
ASSAGO;A473
ASSEMINI;A474
ASSISI;A475
ASSO;A476
ASSOLO;A477
ASSORO;A478
ASTI;A479
ASUNI;A480
ATELETA;A481
ATELLA;A482
ATENA LUCANA;A484
ATESSA;A485
ATINA;A486
ATRANI;A487
ATRI;A488
ATRIPALDA;A489
ATTIGLIANO;A490
ATTIMIS;A491
ATZARA;A492
AUDITORE;A493
AUGUSTA;A494
AULETTA;A495
AULLA;A496
AURANO;A497
AURIGO;A499
AURONZO DI CADORE;A501
AUSONIA;A502
AUSTIS;A503
AVEGNO;A506
AVELENGO;A507
AVELLA;A508
AVELLINO;A509
AVERARA;A511
AVERSA;A512
AVETRANA;A514
AVEZZANO;A515
AVIANO;A516
AVIATICO;A517
AVIGLIANA;A518
AVIGLIANO;A519
AVIGLIANO UMBRO;A519
AVIO;A520
AVISE;A521
AVOLA;A522
AVOLASCA;A523
AYAS;A094
AYMAVILLE;A108
AZEGLIO;A525
AZZANELLO;A526
AZZANO D'ASTI;A527
AZZANO DECIMO;A530
AZZANO MELLA;A529
AZZANO SAN PAOLO;A528
AZZATE;A531
AZZIO;A532
AZZONE;A533
