FABBRICA CURONE;D447
FRANCAVILLA MARITTIMA;D764
FRANCICA;D767
FRANCOFONTE;D768
FRANCOLISE;D769
FRASCARO;D770
FRASCAROLO;D771
FRASCATI;D773
FRASCINETO;D774
FRASSILONGO;D775
FRASSINELLE POLESINE;D776
FRASSINELLO MONFERRATO;D777
FRASSINETO PO;D780
FRASSINETTO;D781
FRASSINO;D782
FRASSINORO;D783
FRASSO SABINO;D785
FRASSO TELESINO;D784
FRATTA POLESINE;D788
FRATTA TODINA;D787
FRATTAMAGGIORE;D789
FRATTAMINORE;D790
FRATTE ROSA;D791
FRAZZANO';D793
FREGONA;D794
FRESAGRANDINARIA;D796
FRESONARA;D797
FRIGENTO;D798
FRIGNANO;D799
FRINCO;D802
FRISA;D803
FRISANCO;D804
FRONT;D805
FRONTINO;D807
FRONTONE;D808
FROSINONE;D810
FROSOLONE;D811
FROSSASCO;D812
FRUGAROLO;D813
FUBINE;D814
FUCECCHIO;D815
FUIPIANO VALLE IMAGNA;D817
FUMANE;D818
FUMONE;D819
FUNES;D821
FURCI;D823
FURCI SICULO;D824
FURNARI;D825
FURORE;D826
FURTEI;D826
FUSCALDO;D828
FUSIGNANO;D829
FUSINE;D830
FUTANI;D832
